,,point 0,point 1,point 2,point 3,point 4
0.184,-1sd,0,74,689,799,911
0.184,mean,0,75,499,686,922
0.184,+1sd,0,75,503,683,927
0.245,-1sd,0,66,482,658,943
0.245,mean,0,68,481,657,940
0.245,+1sd,0,69,488,733,924
0.306,-1sd,0,474,645,760,940
0.306,mean,0,67,477,647,758
0.306,+1sd,0,67,649,755,935
0.368,-1sd,0,65,470,768,944
0.368,mean,0,64,472,731,939
0.368,+1sd,0,64,474,732,938
0.429,-1sd,0,64,638,772,939
0.429,mean,0,64,467,638,768
0.429,+1sd,0,64,467,765,938
