,,point 0,point 1,point 2,point 3,point 4,point 5
0.185,-1sd,0,73,360,536,755,938
0.185,mean,0,74,360,537,751,944
0.185,+1sd,0,75,357,539,746,947
0.247,-1sd,0,68,347,523,724,947
0.247,mean,0,69,348,525,719,947
0.247,+1sd,0,71,348,527,714,947
0.309,-1sd,0,73,368,498,704,941
0.309,mean,0,74,364,502,699,941
0.309,+1sd,0,75,360,506,693,941
0.371,-1sd,0,75,378,480,685,940
0.371,mean,0,77,382,483,681,944
0.371,+1sd,0,78,382,483,677,944
0.432,-1sd,0,80,358,484,668,944
0.432,mean,0,81,361,487,666,944
0.432,+1sd,0,82,361,487,665,944
