,,point 0,point 1,point 2,point 3,point 4,point 5
0.188,-1sd,0,75,182,333,580,768
0.188,mean,0,77,198,584,767,940
0.188,+1sd,0,79,202,345,587,767
0.25,-1sd,0,73,356,536,735,947
0.25,mean,0,73,288,538,734,947
0.25,+1sd,0,73,287,539,732,947
0.313,-1sd,0,72,173,512,708,946
0.313,mean,0,73,176,514,706,946
0.313,+1sd,0,74,176,516,705,946
0.376,-1sd,0,69,170,463,689,945
0.376,mean,0,70,172,470,687,945
0.376,+1sd,0,71,172,476,686,945
0.438,-1sd,0,70,171,327,428,669
0.438,mean,0,71,173,434,668,941
0.438,+1sd,0,72,173,440,667,941
