,,point 0,point 1,point 2,point 3,point 4,point 5
0.199,-1sd,0,56,268,578,751,882
0.199,mean,0,56,237,583,751,882
0.199,+1sd,0,55,230,587,751,881
0.266,-1sd,0,54,225,534,714,877
0.266,mean,0,55,225,541,712,933
0.266,+1sd,0,56,229,547,711,870
0.332,-1sd,0,58,237,496,688,898
0.332,mean,0,59,229,498,685,892
0.332,+1sd,0,59,176,498,681,887
0.398,-1sd,0,58,266,474,665,884
0.398,mean,0,59,262,476,663,893
0.398,+1sd,0,60,262,476,660,897
0.465,-1sd,0,63,274,464,652,945
0.465,mean,0,63,269,466,650,940
0.465,+1sd,0,63,269,468,648,933
