,,,,point 0,point 1,point 2,point 3,point 4,point 5
TF18,contralateral,0.6 m/s,-1sd,0,99,354,603,778,929.0
TF18,contralateral,0.6 m/s,mean,0,99,272,456,607,775.0
TF18,contralateral,0.6 m/s,+1sd,0,98,272,463,614,909.0
TF18,contralateral,0.7 m/s,-1sd,0,110,271,573,757,897.0
TF18,contralateral,0.7 m/s,mean,0,109,268,576,757,896.0
TF18,contralateral,0.7 m/s,+1sd,0,108,268,580,756,894.0
TF18,contralateral,0.8 m/s,-1sd,0,106,262,548,732,899.0
TF18,contralateral,0.8 m/s,mean,0,108,260,549,735,897.0
TF18,contralateral,0.8 m/s,+1sd,0,109,260,552,736,891.0
TF19,ipsilateral,0.6 m/s,-1sd,0,103,518,795,940,
TF19,ipsilateral,0.6 m/s,mean,0,103,517,795,940,
TF19,ipsilateral,0.6 m/s,+1sd,0,104,516,797,940,
TF19,ipsilateral,0.8 m/s,-1sd,0,102,498,777,940,
TF19,ipsilateral,0.8 m/s,mean,0,101,499,780,940,
TF19,ipsilateral,0.8 m/s,+1sd,0,100,661,780,937,
TF19,ipsilateral,1.0 m/s,-1sd,0,103,655,798,921,
TF19,ipsilateral,1.0 m/s,mean,0,104,495,798,899,
TF19,ipsilateral,1.0 m/s,+1sd,0,105,495,657,860,
TF19,ipsilateral,1.2 m/s,-1sd,0,100,483,714,944,
TF19,ipsilateral,1.2 m/s,mean,0,100,484,647,937,
TF19,ipsilateral,1.2 m/s,+1sd,0,485,648,810,930,
TF19,ipsilateral,1.4 m/s,-1sd,0,74,635,744,913,
TF19,ipsilateral,1.4 m/s,mean,0,77,481,635,815,
TF19,ipsilateral,1.4 m/s,+1sd,0,80,483,734,897,
TF19,contralateral,0.6 m/s,-1sd,0,56,268,578,751,882.0
TF19,contralateral,0.6 m/s,mean,0,56,237,583,751,882.0
TF19,contralateral,0.6 m/s,+1sd,0,55,230,587,751,881.0
TF19,contralateral,0.8 m/s,-1sd,0,54,225,534,714,877.0
TF19,contralateral,0.8 m/s,mean,0,55,225,541,712,933.0
TF19,contralateral,0.8 m/s,+1sd,0,56,229,547,711,870.0
TF19,contralateral,1.0 m/s,-1sd,0,58,237,496,688,898.0
TF19,contralateral,1.0 m/s,mean,0,59,229,498,685,892.0
TF19,contralateral,1.0 m/s,+1sd,0,59,176,498,681,887.0
TF19,contralateral,1.2 m/s,-1sd,0,58,266,474,665,884.0
TF19,contralateral,1.2 m/s,mean,0,59,262,476,663,893.0
TF19,contralateral,1.2 m/s,+1sd,0,60,262,476,660,897.0
TF19,contralateral,1.4 m/s,-1sd,0,63,274,464,652,945.0
TF19,contralateral,1.4 m/s,mean,0,63,269,466,650,940.0
TF19,contralateral,1.4 m/s,+1sd,0,63,269,468,648,933.0
TF20,ipsilateral,0.4 m/s,-1sd,0,160,351,527,813,
TF20,ipsilateral,0.4 m/s,mean,0,157,527,716,892,
TF20,ipsilateral,0.4 m/s,+1sd,0,155,349,527,806,
TF20,ipsilateral,0.5 m/s,-1sd,0,148,520,773,900,
TF20,ipsilateral,0.5 m/s,mean,0,149,519,787,900,
TF20,ipsilateral,0.5 m/s,+1sd,0,150,519,799,900,
TF20,ipsilateral,0.6 m/s,-1sd,0,117,497,813,900,
TF20,ipsilateral,0.6 m/s,mean,0,121,499,807,900,
TF20,ipsilateral,0.6 m/s,+1sd,0,124,499,803,900,
TF20,ipsilateral,0.7 m/s,-1sd,0,87,487,824,900,
TF20,ipsilateral,0.7 m/s,mean,0,92,485,684,906,
TF20,ipsilateral,0.7 m/s,+1sd,0,95,482,679,912,
TF20,ipsilateral,0.8 m/s,-1sd,0,86,640,800,900,
TF20,ipsilateral,0.8 m/s,mean,0,91,486,812,900,
TF20,ipsilateral,0.8 m/s,+1sd,0,97,486,808,900,
TF20,contralateral,0.4 m/s,-1sd,0,82,463,601,813,930.0
TF20,contralateral,0.4 m/s,mean,0,87,387,603,806,930.0
TF20,contralateral,0.4 m/s,+1sd,0,93,387,606,794,930.0
TF20,contralateral,0.5 m/s,-1sd,0,96,311,602,788,930.0
TF20,contralateral,0.5 m/s,mean,0,99,319,603,780,930.0
TF20,contralateral,0.5 m/s,+1sd,0,101,325,605,772,930.0
TF20,contralateral,0.6 m/s,-1sd,0,102,324,617,772,930.0
TF20,contralateral,0.6 m/s,mean,0,105,425,619,771,930.0
TF20,contralateral,0.6 m/s,+1sd,0,107,432,622,771,930.0
TF20,contralateral,0.7 m/s,-1sd,0,99,318,593,747,930.0
TF20,contralateral,0.7 m/s,mean,0,100,376,592,742,930.0
TF20,contralateral,0.7 m/s,+1sd,0,101,383,590,735,930.0
TF20,contralateral,0.8 m/s,-1sd,0,105,297,581,732,924.0
TF20,contralateral,0.8 m/s,mean,0,108,297,572,723,932.0
TF20,contralateral,0.8 m/s,+1sd,0,110,297,571,722,940.0
