,,point 0,point 1,point 2,point 3,point 4
0.19,-1sd,0,84,492,697,918
0.19,mean,0,83,496,690,919
0.19,+1sd,0,82,502,691,919
0.254,-1sd,0,82,480,657,913
0.254,mean,0,83,482,658,943
0.254,+1sd,0,84,486,662,912
0.317,-1sd,0,82,471,740,932
0.317,mean,0,84,474,650,931
0.317,+1sd,0,85,481,657,931
0.381,-1sd,0,70,458,703,922
0.381,mean,0,71,268,460,766
0.381,+1sd,0,72,463,740,916
0.444,-1sd,0,70,615,770,913
0.444,mean,0,464,616,768,915
0.444,+1sd,0,464,616,768,916
