,,point 0,point 1,point 2,point 3,point 4
0.128,-1sd,0,96,520,706,896
0.128,mean,0,98,521,706,897
0.128,+1sd,0,98,523,718,898
0.16,-1sd,0,96,331,518,861
0.16,mean,0,94,520,715,913
0.16,+1sd,0,92,319,520,862
0.192,-1sd,0,78,320,501,836
0.192,mean,0,76,502,680,941
0.192,+1sd,0,73,321,503,833
0.223,-1sd,0,69,706,826,935
0.223,mean,0,70,492,827,938
0.223,+1sd,0,72,492,734,940
0.255,-1sd,0,65,485,737,923
0.255,mean,0,65,485,735,925
0.255,+1sd,0,65,485,732,927
