,,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02,TF02
,,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral
,,0.4 m/s,0.4 m/s,0.4 m/s,0.5 m/s,0.5 m/s,0.5 m/s,0.6 m/s,0.6 m/s,0.6 m/s,0.7 m/s,0.7 m/s,0.7 m/s,0.4 m/s,0.4 m/s,0.4 m/s,0.5 m/s,0.5 m/s,0.5 m/s,0.6 m/s,0.6 m/s,0.6 m/s,0.7 m/s,0.7 m/s,0.7 m/s
,,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd
position,0.0,-4.347401021727959,-4.197618163265306,-4.0478353048026525,-4.186661143041763,-4.047275,-3.907888856958237,-4.1936530216255266,-4.066723958333333,-3.93979489504114,-4.71209345293042,-4.564507037037037,-4.416920621143655,7.945221570594884,8.537873877551023,9.130526184507161,7.073910362196547,7.691465769230768,8.30902117626499,8.459768088149662,9.059985416666661,9.66020274518366,9.714722262031337,10.373845000000003,11.032967737968669
position,0.001,-4.441720268643816,-4.286973349387755,-4.132226430131694,-4.275119028461813,-4.1338622598076915,-3.992605491153571,-4.295309367840497,-4.165246616666667,-4.0351838654928365,-4.830879630484391,-4.681180809259262,-4.531481988034132,7.825651017179116,8.41907657163265,9.012502126086183,6.987976493795371,7.606091364615385,8.2242062354354,8.36619425516294,8.957841096458331,9.549487937753723,9.602749277209547,10.256671687407405,10.910594097605262
position,0.002,-4.53619490681485,-4.376328535510206,-4.216462164205562,-4.363786286339141,-4.220449519615386,-4.07711275289163,-4.397076535983466,-4.263769275000001,-4.130462014016537,-4.949770082640173,-4.797854581481482,-4.6459390803227905,7.70533215169199,8.300279265714282,8.895226379736576,6.901523282226385,7.520716960000001,8.139910637773617,8.272018291553879,8.855696776250001,9.439375260946123,9.490268243041116,10.139498374814814,10.78872850658851
position,0.003,-4.631067447765999,-4.466399009183674,-4.301730570601349,-4.453110335522447,-4.307630185000001,-4.162150034477555,-4.499274308721779,-4.3626797420833325,-4.2260851754448865,-5.0689031710502555,-4.91470036,-4.760497548949745,7.569093223777819,8.167181273265303,8.765269322752786,6.806036484949263,7.426927500576924,8.047818516204584,8.174448226189782,8.750670096041668,9.326891965893555,9.376301781165221,10.021385338333332,10.666468895501442
position,0.004,-4.726341203241546,-4.556911195918367,-4.3874811885951885,-4.543367138446313,-4.395732041538462,-4.248096944630611,-4.603112592301615,-4.4635200033333335,-4.323927414365052,-5.190463894432047,-5.034428225925927,-4.878392557419807,7.425575548836958,8.027634010612243,8.629692472387527,6.696531509308221,7.319364808461538,7.942198107614855,8.061830809301094,8.6315745975,9.201318385698906,9.246282343577933,9.887612334814813,10.528942326051693
position,0.005,-4.820437054980965,-4.646725596938776,-4.473014138896587,-4.633821683103794,-4.483833898076923,-4.333846113050051,-4.707052056449128,-4.564360264583334,-4.421668472717539,-5.312147336593876,-5.154180745370371,-4.996214154146866,7.273562511239963,7.880985195918367,8.488407880596771,6.586430576472296,7.211750763461537,7.837070950450778,7.9485800580237544,8.512476007291665,9.076371956559576,9.115533337427268,9.753699677777778,10.391866018128288
position,0.006,-4.913985282785149,-4.736096267346939,-4.558207251908729,-4.723433729124148,-4.571280872692309,-4.419128016260471,-4.810590821622968,-4.6649632825,-4.519335743377031,-5.433798091123377,-5.273882923333333,-5.113967755543289,7.109230964550837,7.7228888881632685,8.336546811775701,6.460230899963954,7.0886736388461555,7.717116377728357,7.829878338105666,8.388451617083332,8.947024896060999,8.98247898980943,9.61819858111111,10.253918172412792
position,0.007,-5.005863758332605,-4.824478093469389,-4.643092428606172,-4.812966942781485,-4.658514607884616,-4.504062272987746,-4.913741771915093,-4.765354350416667,-4.616966928918241,-5.554575543126896,-5.39320566,-5.231835776873103,6.941443823752393,7.5622207946938795,8.182997765635367,6.328854743482947,6.960587867115384,7.5923209907478215,7.700386494684831,8.25474258625,8.80909867781517,8.836392448833218,9.470323792592593,10.104255136351968
position,0.008,-5.095528922979489,-4.910756878367347,-4.725984833755205,-4.901943448996205,-4.745169424615385,-4.588395400234566,-5.0169279166472815,-4.865711158333334,-4.714494400019387,-5.675435342922384,-5.512523558518522,-5.34961177411466,6.761350056200213,7.390453105306119,8.019556154412026,6.193966837186537,6.829786724615387,7.465606612044237,7.570240816316635,8.121025143333334,8.671809470350032,8.68940911207547,9.322207985185184,9.955006858294897
position,0.009,-5.183255170155516,-4.995829428163265,-4.808403686171014,-4.988261186860796,-4.829366081923078,-4.670470976985361,-5.1179177523179415,-4.964306844375,-4.810695936432058,-5.795587998006982,-5.631193953703704,-5.466799909400426,6.578569770029975,7.216345628571431,7.854121487112887,6.044696033486485,6.684507218269231,7.3243184030519775,7.433759777851169,7.981571476666666,8.529383175482163,8.53973608077453,9.172274763888888,9.804813447003246
position,0.01,-5.26787573305002,-5.078099477551021,-4.888323222052022,-5.0746662323131755,-4.91346445,-4.752262667686825,-5.217621459131609,-5.061540660416667,-4.9054598617017255,-5.912227256091797,-5.7467952333333345,-5.581363210574872,6.388573320971192,7.036074140816323,7.6835749606614545,5.894586255255689,6.538847061538462,7.183107867821235,7.290505898536447,7.836405727083334,8.382305555630222,8.380505622919928,9.0135667,9.646627777080072
position,0.011,-5.349757075888248,-5.158116664897958,-4.9664762539076674,-5.157994065968801,-4.99477983923077,-4.831565612492739,-5.317006730261405,-5.158523853125001,-5.000040975988596,-6.0288516622136585,-5.862308775185187,-5.695765888156715,6.195026963648792,6.852335163469386,7.509643363289979,5.737264519895919,6.386497471923077,7.035730423950235,7.1464962873281115,7.691071997291665,8.235647707255218,8.220299728596148,8.854566414444445,9.488833100292743
position,0.012,-5.428574330101068,-5.235677233469388,-5.042780136837708,-5.239186847625442,-5.073928025384617,-4.908669203143791,-5.4122881711537065,-5.251944595000002,-5.091601018846298,-6.143804982452093,-5.9763083229629625,-5.808811663473832,5.998790879543415,6.666525635918368,7.334260392293321,5.573749242133533,6.227740480769232,6.8817317194049314,6.997023426157706,7.541044740833332,8.085066055508959,8.057643104732652,8.694049236296296,9.33045536785994
position,0.013,-5.503645889981531,-5.309690910816327,-5.115735931651123,-5.319762748900663,-5.152411120576923,-4.985059492253184,-5.506206488006853,-5.343706045208335,-5.1812056024098165,-6.253464587330615,-6.085325526666667,-5.917186466002718,5.800331853924594,6.478533605510204,7.1567353570958145,5.408987122959431,6.06822961769231,6.72747211242519,6.844000083787818,7.388284890625002,7.932569697462186,7.889162827839063,8.528432280185186,9.167701732531308
position,0.014,-5.575872125894786,-5.381565654693876,-5.187259183492967,-5.395269342861355,-5.226203235,-5.0571371271386445,-5.598972397997084,-5.434644566666666,-5.270316735336248,-6.362977031558883,-6.19413570962963,-6.025294387700376,5.601567369505723,6.29038116734694,6.979194965188157,5.238789432060181,5.903048723461538,6.567308014862895,6.690221402401259,7.235296855833333,7.780372309265407,7.719751500274108,8.36254257296296,9.005333645651811
position,0.015,-5.644289298988056,-5.44976535510204,-5.255241411216025,-5.4700357418092915,-5.299078707692307,-5.128121673575323,-5.686642688421107,-5.520814154166665,-5.354985619912223,-6.469764236121893,-6.300481829629631,-6.131199423137369,5.403882529405101,6.10318384081633,6.8024851522275585,5.06690727313856,5.736282506730769,6.405657740322977,6.533477568080434,7.0801366843750015,7.626795800669569,7.548849221902872,8.196001487037035,8.8431537521712
position,0.016,-5.709607052157381,-5.515376790204081,-5.321146528250781,-5.541986199160184,-5.3693363,-5.196686400839815,-5.7730904542618955,-5.605428605,-5.437766755738105,-6.5704957152727745,-6.40092647111111,-6.231357226949446,5.207717811133891,5.917370078367346,6.6270223456008015,4.894332424914851,5.56884244923077,6.243352473546689,6.375368425991905,6.924128889999999,7.4728893540080925,7.3758055552545585,8.027822952592592,8.679840349930625
position,0.017,-5.771842491755816,-5.578115890816325,-5.384389289876834,-5.609848921970848,-5.435659747307692,-5.261470572644537,-5.857234220885476,-5.688302838958335,-5.519371457031194,-6.670837886398279,-6.500984064999999,-6.331130243601719,5.014633785305755,5.73428350244898,6.453933219592204,4.720927481790311,5.400024724423077,6.079121967055843,6.217173080147904,6.768522075208335,7.319871070268765,7.2020642411487446,7.859516195000001,8.516968148851259
position,0.018,-5.830680963680537,-5.637762764489795,-5.444844565299054,-5.677174068251516,-5.501329579230769,-5.325485090210022,-5.936496934142892,-5.766309569999998,-5.596122205857104,-6.76769957424647,-6.5978105933333335,-6.427921612420197,4.82645494502617,5.555734363265307,6.285013781504444,4.547150833320322,5.2310899226923055,5.915029012064289,6.058929474025668,6.613436898750002,7.167944323474336,7.028383532127782,7.691871840370371,8.355360148612961
position,0.019,-5.887113956410026,-5.695231300204083,-5.503348643998139,-5.73974049079773,-5.562593877115385,-5.385447263433041,-6.014657325675166,-5.842923376041667,-5.671189426408168,-6.858463262404828,-6.68854098962963,-6.518618716854433,4.642145819277789,5.380724590204082,6.119303361130375,4.376388039575157,5.064288469807694,5.752188900040232,5.9008551092803545,6.458801275208334,7.016747441136313,6.855915267111087,7.525623722037034,8.195332176962982
position,0.02,-5.94019288797845,-5.749479530612246,-5.558766173246042,-5.800433862937546,-5.621883249999998,-5.44333263706245,-6.089419262462178,-5.916839504166667,-5.744259745871156,-6.948593500972526,-6.778705111111111,-6.6088167212496955,4.465663201034865,5.212699591836733,5.959735982638601,4.207021085557228,4.898806557692308,5.590592029827388,5.744222221649327,6.305942129166666,6.867662036684004,6.683155978335943,7.359532407407408,8.035908836478873
position,0.021,-5.991137788920886,-5.801757322653063,-5.612376856385239,-5.859214190426797,-5.67932510596154,-5.499436021496284,-6.160133965853917,-5.986499083750001,-5.812864201646085,-7.034734150100323,-6.865101914444443,-6.695469678788563,4.294360028209137,5.049678883061225,5.804997737913313,4.03937350432451,4.7347716109615385,5.4301697175985675,5.589829099468474,6.155695635625,6.721562171781526,6.512441227498764,7.1957316449999995,7.879022062501235
position,0.022,-6.03947089159392,-5.851516860408165,-5.6635628292224105,-5.91382906318427,-5.73286019653846,-5.5518913298926496,-6.229669368764955,-6.054797361666666,-5.879925354568377,-7.115341928929062,-6.94587112074074,-6.776400312552419,4.131606474007636,4.894056795918368,5.656507117829099,3.878507690199013,4.5763915869230765,5.27427548364714,5.436960624351352,6.00701016875,6.577059713148648,6.345675432714174,7.035739004814814,7.725802576915454
position,0.023,-6.085588189821984,-5.899147982244901,-5.712707774667817,-5.967565584310168,-5.785395998076924,-5.603226411843679,-6.29540043005125,-6.119922841458333,-5.944445252865417,-7.195056241494917,-7.025874867592593,-6.85669349369027,3.9769636888660207,4.746410511224491,5.515857333582962,3.719116374307959,4.419750779807691,5.1203851853074225,5.287594061831964,5.8619574072916665,6.436320752751369,6.179116538389297,6.876302570555555,7.573488602721812
position,0.024,-6.129901917278165,-5.945007678367347,-5.7601134394565285,-6.018163980257329,-5.834932429230767,-5.651700878204204,-6.3579607334939485,-6.181560861666665,-6.005160989839382,-7.270664406598492,-7.101943518518518,-6.933222630438545,3.8297917918566,4.605339567346936,5.380887342837273,3.5658511044963435,4.2680086507692305,4.970166197042118,5.141798841419186,5.720699696666666,6.299600551914146,6.016784185892468,6.720902022222221,7.425019858551974
position,0.025,-6.171862983350096,-5.988572387755106,-5.805281792160115,-6.066187922508753,-5.882011822115383,-5.697835721722013,-6.419045602244144,-6.2417267760416655,-6.064407949839187,-7.341500609366949,-7.1730377268518515,-7.004574844336754,3.693548512028108,4.4743096071428585,5.255070702257608,3.419745738946415,4.123055740384615,4.826365741822815,4.998771413011356,5.582147776041668,6.16552413907198,5.860385516059962,6.5710453796296315,7.281705243199301
position,0.026,-6.2125765057385145,-6.030830329387755,-5.849084153036996,-6.113080629207635,-5.927867099999999,-5.742653570792363,-6.476469743644415,-6.2986763083333335,-6.120882873022252,-7.41122655209095,-7.243204604074076,-7.075182656057201,3.564439691528312,4.350224466530612,5.136009241532912,3.2763671223863713,3.980685561153846,4.685003999921321,4.861344600314209,5.448979043749998,6.036613487185787,5.704719152494012,6.422221375185183,7.139723597876354
position,0.027,-6.251110375655391,-6.070958493265309,-5.890806610875226,-6.1567436786885015,-5.970748907692309,-5.784754136696117,-6.531630903243102,-6.352972097499998,-6.174313291756893,-7.476918341952375,-7.3094787475925935,-7.142039153232812,3.44577943175243,4.235315447959184,5.0248514641659385,3.1425901908405605,3.8464501767307695,4.5503101626209785,4.728118659954041,5.320233944583333,5.912349229212626,5.555202355828568,6.278926097962965,7.002649840097362
position,0.028,-6.288527688696084,-6.109849550204081,-5.931171411712078,-6.199124281940786,-6.012273361538462,-5.825422441136138,-6.584959454651629,-6.405613026666665,-6.226266598681701,-7.5386544589354205,-7.371527099259261,-7.204399739583101,3.336010042206907,4.129406631020408,4.922803219833909,3.0143980392956706,3.718014131538462,4.4216302237812535,4.599102034079623,5.195500128333333,5.791898222587044,5.412865109345615,6.142286785925925,6.871708462506234
position,0.029,-6.324344293302569,-6.14714331918367,-5.969942345064772,-6.239714121453026,-6.052006573461539,-5.864299025470053,-6.635068960769428,-6.455307659583333,-6.275546358397238,-7.599122999005517,-7.432517974999997,-7.265912950994477,3.2347394763620785,4.030681055306122,4.826622634250165,2.891785294886495,3.594381114807693,4.296976934728891,4.476536739800806,5.07688460625,5.6772324726991945,5.271787993247395,6.007172393333334,6.742556793419272
position,0.03,-6.359028349886141,-6.183187971428572,-6.007347592971002,-6.2779674211298495,-6.08958361923077,-5.90119981733169,-6.683494201469612,-6.502937424999998,-6.322380648530384,-7.655775099620564,-7.489820477777777,-7.323865855934991,3.1440909239204946,3.942495824489796,4.740900725059097,2.7794836846782713,3.480091228846154,4.180698773014036,4.35883663979029,4.963364006250002,5.567891372709713,5.138417347737734,5.878807261111114,6.619197174484494
position,0.031,-6.392707226294267,-6.218147872040817,-6.043588517787368,-6.315249126265098,-6.126086859230768,-5.936924592196439,-6.729888578931221,-6.548818336458335,-6.3677480939854485,-7.709257720601377,-7.543618656481482,-7.377979592361587,3.060505709074107,3.8605908191836726,4.660675929293238,2.6714337640037584,3.3703174790384614,4.069201194073164,4.246385511630048,4.854701996875,5.463018482119952,5.012702282992215,5.757543264999998,6.502384247007781
position,0.032,-6.424993393204758,-6.251665100408164,-6.078336807611569,-6.350426080482478,-6.160627475384617,-5.970828870286756,-6.773818053138982,-6.592308565000002,-6.410799076861022,-7.761431382356272,-7.596292407407407,-7.431153432458543,2.9870084869542732,3.788013252244897,4.58901801753552,2.57178128190815,3.267719995384615,3.9636587088610806,4.14066006191905,4.752511298333334,5.3643625347476185,4.888805286691974,5.638290943703705,6.387776600715436
